jobTitle,position,minBudget,maxBudget,location,description,jobType,skills,recruiter,client,minExp,maxExp,noticePeriod,status,jobId,vacancies,priority,workType,preprocessed_description,preprocessed_skills,combined_text
Guidewire Developers,Developer,9.0,12.0,{Hyderabad},"Prior Guidewire PC Integration experience (Edge API)

Guidewire Insurance Suite JavaPortal Front End Javascript/Typescript (ECMAScript6 or ES6)
ReactJS, NodeJS, Javascript/Typescript (ECMAScript6 or ES6),HTML, CSS, UI Framework (Bootstrap/Material UI), P&C Domain knowledge Certification in Digital
Policy Center Administration/Knowledge of various job processes",Permanent,"{guidewire,""Guidewire Insurance Suite"",HTML,CSS,Bootstrap}",Achyuth,CIAS8119,3.0,4.0,0-15 days,Active,JDGD2195,2.0,High,Work from Home,prior guidewire pc integration experience edge api guidewire insurance suite javaportal front end javascript typescript reactjs nodejs javascript typescript css ui framework bootstrap material ui domain knowledge certification digital policy center administration knowledge various job process,insurance css bootstrap,prior guidewire pc integration experience edge api guidewire insurance suite javaportal front end javascript typescript reactjs nodejs javascript typescript css ui framework bootstrap material ui domain knowledge certification digital policy center administration knowledge various job process insurance css bootstrap
Global Payroll Manager,Global Payroll Manager,1800000.0,2000000.0,{Bangalore},"JD for Global Payroll Manager –

A Global Payroll Manager is responsible for overseeing the payroll process for clients operating across multiple countries. This role is to ensure that all employees are paid accurately and on time, while complying with relevant laws and regulations in each country.


Key responsibilities of a Global Payroll Manager include –

1.    Ensure payroll compliance: He/she is responsible for ensuring payroll compliance with all applicable tax, social security, and labor laws in each country. He/she needs to be familiar with tax treaties and agreements between countries that could impact payroll

2.    Manage payroll team: The Global Payroll Manager must manage and lead a team of 12-14 (and growing) payroll professionals to ensure that all payroll activities are completed accurately and on time.

3.    Core technical: He/she must be hands on and very much familiar with payroll process (US, Canada, EMEA, APAC primarily), onboarding, offboarding, PTO, garnishments, various reports, employee query handling, year-end employee reports (W2 and others) and other payroll reports, helping and reviewing SOPs.

4.    Manage and supervise a team of payroll specialists to ensure that payroll processes are executed in a timely and accurate manner.

5.    Ensure compliance with all applicable payroll regulations and tax laws for both US and EMEA regions.

6.    Ensure timely filing of all payroll-related tax returns and payments.

7.    Work closely with other departments such as HR, Finance, and Legal to ensure seamless coordination of payroll-related activities.

8.    Transition experience: Has hands on experience in transitioning work to India, gets hands dirty at the initial phase, team the juniors on the activities to be performed, building initial impression with the client, ensuring error free, on time transition.

9.    Manage relationships with the client: He/she must build and maintain relationships with the clients, understand the requirements and implement the same. Also, suggest best practices.

10.    Collaborate with internal stakeholders: He/she must work closely with internal stakeholders, managers to build an efficient team, staffing needs, optimize existing resource.

11.    Continuously improve payroll process: He/she must identify areas for improvement and implement changes to streamline the payroll process, reduce errors, and increase efficiency.

12.    Building a strong sustainable culture: Build a strong team of culture with collaboration, team building, professionalism.



Qualification and experience required –

•    Bachelor's degree in Business Administration, Accounting, or related field
•    14+ years of experience in payroll management, preferably in a shared services environment
•    Thorough knowledge of US and EMEA payroll regulations and tax laws
•    Experience working with leading payroll applications such as ADP, Workday, UKG
•    Strong leadership and supervisory skills, with the ability to motivate and manage a team.
•    Excellent analytical and problem-solving skills
•    Strong communication and interpersonal skills, with the ability to work effectively with all levels of the organization.
•    Detail-oriented with the ability to manage multiple priorities in a fast-paced environment.
•    Knowledge of HRIS systems and reporting tools is a plus.

Work timing -
Work from office with hybrid model, preferred US hours, however flexible working from 3pm to 12am IST with flexibility during pay days or critical transition days.",Permanent,"{""USA Canada and APAC payroll"",""Ensure payroll compliance"",""Strong leadership and supervisory skills"",""problem solving skills""}",DB413862,CICS9111,13.0,16.0,15-30 days,active,JDGP3661,1.0,High,Work from Office,jd global payroll manager global payroll manager responsible oversee payroll process client operate across multiple country role ensure employee pay accurately time comply relevant law regulation country key responsibility global payroll manager include ensure payroll compliance responsible ensure payroll compliance applicable tax social security labor law country need familiar tax treaty agreement country could impact payroll manage payroll team global payroll manager must manage lead team grow payroll professional ensure payroll activity complete accurately time core technical must hand much familiar payroll process us canada emea apac primarily onboarding offboarding pto garnishment various report employee query handling year end employee report other payroll report help review sop manage supervise team payroll specialist ensure payroll process execute timely accurate manner ensure compliance applicable payroll regulation tax law we emea region ensure timely filing payroll relate tax return payment work closely department hr finance legal ensure seamless coordination payroll relate activity transition experience hand experience transition work india get hand dirty initial phase team junior activity perform build initial impression client ensure error free time transition manage relationship client must build maintain relationship client understand requirement implement also suggest good practice collaborate internal stakeholder must work closely internal stakeholder manager build efficient team staffing need optimize exist resource continuously improve payroll process must identify area improvement implement change streamline payroll process reduce error increase efficiency build strong sustainable culture build strong team culture collaboration team building professionalism qualification experience require bachelor degree business administration accounting related field year experience payroll management preferably share service environment thorough knowledge we emea payroll regulation tax law experience work lead payroll application adp workday ukg strong leadership supervisory skill ability motivate manage team excellent analytical problem solve skill strong communication interpersonal skill ability work effectively level organization detail orient ability manage multiple priority fast pace environment knowledge hris system reporting tool plus work timing work office hybrid model prefer us hour however flexible work pm ist flexibility pay day critical transition day,usa canada apac payroll leadership supervisory solve skill,jd global payroll manager global payroll manager responsible oversee payroll process client operate across multiple country role ensure employee pay accurately time comply relevant law regulation country key responsibility global payroll manager include ensure payroll compliance responsible ensure payroll compliance applicable tax social security labor law country need familiar tax treaty agreement country could impact payroll manage payroll team global payroll manager must manage lead team grow payroll professional ensure payroll activity complete accurately time core technical must hand much familiar payroll process us canada emea apac primarily onboarding offboarding pto garnishment various report employee query handling year end employee report other payroll report help review sop manage supervise team payroll specialist ensure payroll process execute timely accurate manner ensure compliance applicable payroll regulation tax law we emea region ensure timely filing payroll relate tax return payment work closely department hr finance legal ensure seamless coordination payroll relate activity transition experience hand experience transition work india get hand dirty initial phase team junior activity perform build initial impression client ensure error free time transition manage relationship client must build maintain relationship client understand requirement implement also suggest good practice collaborate internal stakeholder must work closely internal stakeholder manager build efficient team staffing need optimize exist resource continuously improve payroll process must identify area improvement implement change streamline payroll process reduce error increase efficiency build strong sustainable culture build strong team culture collaboration team building professionalism qualification experience require bachelor degree business administration accounting related field year experience payroll management preferably share service environment thorough knowledge we emea payroll regulation tax law experience work lead payroll application adp workday ukg strong leadership supervisory skill ability motivate manage team excellent analytical problem solve skill strong communication interpersonal skill ability work effectively level organization detail orient ability manage multiple priority fast pace environment knowledge hris system reporting tool plus work timing work office hybrid model prefer us hour however flexible work pm ist flexibility pay day critical transition day usa canada apac payroll leadership supervisory solve skill
GM Sales,Business development,22.0,23.0,{Mumbai},"

Responsible for P&L of Transport and Logistics vertical , also responsible for both value and volume of business. Should possess or imbibe in depth knowledge of the functioning of this vertical and the challenges faced by the segment.
Should be suave to gather inputs to strategically build solutions for this segment filter high potential deals by analyzing business strategies, opportunity requirements / pre-requisites / financials, and internal priorities
Should have a team to manage a team of professionals responsible for generating revenue ,new customer acquisitions and overall target & will be accountable for managing, and building the sales performance, and overall team efficiency
The Vertical Head will design strategies by considering the risks and rewards, keeping in mind the counter-parties- preferences & goals.
He /She will lead and close large deals, understand the customer’s requirements thoroughly, and tailor pitch the deal/products accordingly.
Managing customer relationships at all levels will be an important function and he / she will be responsible for gathering and acting upon Market Intelligence, consumer choices and consumer behavior.",Permanent,"{Sales,T&L}",sG585763,CIMY4030,15.0,16.0,15-30 days,Active,JDGS6287,1.0,Medium,Work from Office,responsible transport logistic vertical also responsible value volume business possess imbibe depth knowledge functioning vertical challenge face segment suave gather input strategically build solution segment filter high potential deal analyze business strategy opportunity requirement pre requisites financial internal priority team manage team professional responsible generate revenue new customer acquisition overall target accountable manage build sale performance overall team efficiency vertical head design strategy consider risk reward keep mind counter preference goal lead close large deal understand customer requirement thoroughly tailor pitch deal product accordingly manage customer relationship level important function responsible gather act upon market intelligence consumer choice consumer behavior,sale,responsible transport logistic vertical also responsible value volume business possess imbibe depth knowledge functioning vertical challenge face segment suave gather input strategically build solution segment filter high potential deal analyze business strategy opportunity requirement pre requisites financial internal priority team manage team professional responsible generate revenue new customer acquisition overall target accountable manage build sale performance overall team efficiency vertical head design strategy consider risk reward keep mind counter preference goal lead close large deal understand customer requirement thoroughly tailor pitch deal product accordingly manage customer relationship level important function responsible gather act upon market intelligence consumer choice consumer behavior sale
HR Associate,HR Associate,1.0,5.0,{Bangalore},"Job Description:
We are looking for a dynamic teammate that will play a key role in leading the recruitment initiative in
our company. The ideal candidate would be primarily working on recruitment, along with employee
relations, L&amp;D, Employee Issue Management and Vendor management. The role would also extend to
manage some of the operations related roles. A positive person with a self-starter attitude and
excellent communication skills that can build relationships would just nail it.
If you&#39;re someone who is result oriented, upbeat and enjoys working with great people, then you will
love the vibe and the broad range of responsibilities that can uplift your career.
Roles and Responsibilities
 You will actively handle different recruitment initiatives across all touch points, sourcing great
talent through innovative sources, job-portals and coordinate with the stake holders.
 You will devise and implement strategies around corporate branding, scouting for potential hires,
coordinate outreach programs with respect to recruitment.
 Build a strong network in the Human resource community to develop a continuous source for
potential candidates
 Actively work and engage with the team and exhibit a proactive participation in building and
maintaining a positive work environment
 Constant management of all HR Tools and maintain related data.
 Handling end-to-end employee onboarding, off-boarding and mobility.
 Handle a range of back-end operations including Employee on-boarding, maintaining
documentation and data, vendor management, benefits, training and development, HRM tool,
employee engagement.
 Self-starter who can operate effectively in a fast-paced environment and navigate ambiguity,
independently.
 Strong attention to detail, successful project management abilities, ability to multitask and deliver
on multiple streams of work in parallel.
Job Specifications:
 Confident and energetic, with strong verbal and written communication skills.
 MBA in HR with 1 to 3 years of experience (technical background like Btech / BE +MBA is a plus)
 Strong morals and ethics, along with a commitment to maintaining staff privacy and confidentiality.
Shift Timings: General shift
Location: Electronic City Phase 1, Bangalore
Key Notes:
1. Role: Hr Associate / Jr. HR associate
2. Job code in subject line: HR02
3. Type: Contract role of 6 months extendable to 9 months if required.
(Can be absorbed after the contract based on performance and requirement)
4. Shift: General shift
5. Cab facility: No
Notice Period: 30 days Max",Contract,{HR},Achyuth,CICS9111,1.0,3.0,15-30 days,Active,JDHA2244,2.2666666666666666,High,Work from Office,job description look dynamic teammate play key role lead recruitment initiative company ideal candidate would primarily work recruitment along employee relation employee issue management vendor management role would also extend manage operation relate role positive person self starter attitude excellent communication skill build relationship would nail someone result oriented upbeat enjoy work great people love vibe broad range responsibility uplift career role responsibility actively handle different recruitment initiative across touch point source great talent innovative source job portal coordinate stake holder devise implement strategy around corporate branding scout potential hire coordinate outreach program respect recruitment build strong network human resource community develop continuous source potential candidate actively work engage team exhibit proactive participation building maintain positive work environment constant management hr tool maintain related datum handle end end employee onboarding boarding mobility handle range back end operation include employee boarding maintain documentation datum vendor management benefit training development hrm tool employee engagement self starter operate effectively fast pace environment navigate ambiguity independently strong attention detail successful project management ability ability multitask deliver multiple stream work parallel job specification confident energetic strong verbal write communication skill mba hr year experience technical background like btech mba plus strong moral ethic along commitment maintain staff privacy confidentiality shift timing general shift location electronic city phase bangalore key note role hr associate jr hr associate job code subject line type contract role month extendable month require absorb contract base performance requirement shift general shift cab facility notice period day max,hr,job description look dynamic teammate play key role lead recruitment initiative company ideal candidate would primarily work recruitment along employee relation employee issue management vendor management role would also extend manage operation relate role positive person self starter attitude excellent communication skill build relationship would nail someone result oriented upbeat enjoy work great people love vibe broad range responsibility uplift career role responsibility actively handle different recruitment initiative across touch point source great talent innovative source job portal coordinate stake holder devise implement strategy around corporate branding scout potential hire coordinate outreach program respect recruitment build strong network human resource community develop continuous source potential candidate actively work engage team exhibit proactive participation building maintain positive work environment constant management hr tool maintain related datum handle end end employee onboarding boarding mobility handle range back end operation include employee boarding maintain documentation datum vendor management benefit training development hrm tool employee engagement self starter operate effectively fast pace environment navigate ambiguity independently strong attention detail successful project management ability ability multitask deliver multiple stream work parallel job specification confident energetic strong verbal write communication skill mba hr year experience technical background like btech mba plus strong moral ethic along commitment maintain staff privacy confidentiality shift timing general shift location electronic city phase bangalore key note role hr associate jr hr associate job code subject line type contract role month extendable month require absorb contract base performance requirement shift general shift cab facility notice period day max hr
helpdesk,helpdesk,300000.0,600000.0,"{""Bengaluru ""}","  Serve as the first contact with customers who need technical assistance via the phone or email.
",Permanent,"{""IT support"",""application support""}",Venkata Sai Rohith,CICS9111,1.0,4.0,15-30 days,Active,JDHD2293,2.2666666666666666,High,Work from Office,serve first contact customer need technical assistance via phone email,support,serve first contact customer need technical assistance via phone email support
HR Executive,HR Executive,2.0,5.0,{Hyderabad},"Should have experience in Payroll, Recruitment, Operations and Administration, Policies and Documentation, Compensation and Employee Benefits, Statutory compliances. Must have solid organizational skills and be familiar with HR functions. Maintaining physical and digital personnel records like employment contracts. Candidate will act as the first point of contact for HR-related queries from employees and external partners. Administrative duties include maintaining personnel records, managing HR documents (e.g., employment records and onboarding guides) and updating internal databases. Liaise with external partners, like insurance vendors, and ensure legal compliance. Thorough knowledge of labor laws.",Permanent,"{Recruitment,Payroll,""Operations and Administration""}",PC138515,CIMT7642,2.0,5.0,15-30 days,Active,JDHE2858,1.0,High,Work from Office,experience payroll recruitment operation administration policy documentation compensation employee benefit statutory compliance must solid organizational skill familiar hr function maintain physical digital personnel record like employment contract candidate act first point contact hr relate query employee external partner administrative duty include maintain personnel record manage hr document employment record onboarde guide update internal database liaise external partner like insurance vendor ensure legal compliance thorough knowledge labor law,recruitment administration,experience payroll recruitment operation administration policy documentation compensation employee benefit statutory compliance must solid organizational skill familiar hr function maintain physical digital personnel record like employment contract candidate act first point contact hr relate query employee external partner administrative duty include maintain personnel record manage hr document employment record onboarde guide update internal database liaise external partner like insurance vendor ensure legal compliance thorough knowledge labor law recruitment administration
Helpdesk Specialist,Helpdesk Specialist,6.0,8.0,{Bangalore},"Job Description
JD: Helpdesk Specialist 

Experience : 2- 4  yrs 

Shifts: Rotational Shifts 

•    Serve as the first contact with customers who need technical assistance via the phone or email.

•    Provide support for incoming queries and issues related to computer systems, O365, Active directory, software and hardware (Printer/ Scanner).

•    Actively monitoring the Applications and Mailboxes for our clients.

•    Supervise all alerts related to application and system procedures and provide services proactively.

•    Install, modify, and repair computer hardware and software.

•    Resolve technical problems with Local Area Networks (LAN), Wide Area Networks (WAN), and other systems.

•    Ensure that client systems are fully operational.

•    Flexibility - Willing to work in shifts 24/7.

•    Log all support based interactions timely and escalate to support engineer. 

•    Add on experience on Phone based Application Support.

•    Timely respond to email messages for customers seeking help.

•    Excellent problem-solving and communication skills. 

•    Follow up with customers to ensure issue has been resolved.

        

      Qualification : BSC / MSC / B-Tech / BE in Information Technology, Computer Science 

",Permanent,{Helpdesk},PC138515,CICS9111,3.0,4.0,15-30 days,Active,JDHS2266,1.0,Medium,Work from Office,job description jd helpdesk specialist experience yrs shift rotational shift serve first contact customer need technical assistance via phone email provide support incoming query issue relate computer system active directory software hardware scanner actively monitor application mailbox client supervise alert relate application system procedure provide service proactively install modify repair computer hardware software resolve technical problem local area network lan wide area network wan system ensure client system fully operational flexibility willing work shift log support base interaction timely escalate support engineer add experience phone base application support timely respond email message customer seek help excellent problem solving communication skill follow customer ensure issue resolve qualification bsc msc b tech information technology computer science,helpdesk,job description jd helpdesk specialist experience yrs shift rotational shift serve first contact customer need technical assistance via phone email provide support incoming query issue relate computer system active directory software hardware scanner actively monitor application mailbox client supervise alert relate application system procedure provide service proactively install modify repair computer hardware software resolve technical problem local area network lan wide area network wan system ensure client system fully operational flexibility willing work shift log support base interaction timely escalate support engineer add experience phone base application support timely respond email message customer seek help excellent problem solving communication skill follow customer ensure issue resolve qualification bsc msc b tech information technology computer science helpdesk
IMS ,IMS,10.0,12.0,{Hyderabad},"Experience of IMS network. Experience of deploy system test  Good exposure in IMS architecture with all the nodes (P-CSCF, I-CSCF, S-CSCF, TAS, HSS) and end to end call flow including IMS Registration. Working knowledge on EPC protocols: VOLTE, CSFB, TAS, BGW, MGW, DIAMETER, EPC, LTE, MME, SAEGW, SGW, PGW, DNS, SGSN, GGSN, HSS Working knowledge on Mobile Networks 5G SIP Call processing and SIP Supplementary Services & Telecom Protocols and technologies like SIP, SDP, DIAMETER, TCP/IP, HTTP, MGCP etc. IMS and SIP testing, SIP call flows, IMS (including CSCF servers) component testing. Strong Technical and Communications skills with excellent conceptual knowledge. Experience/Knowledge in Openstack, Docker Engine & Kubernetes   Skills: CSCF, Call Service and Call Flow, AAA, one NDS, IMS, SIP, openstack, kubernetes, CI CD, Ansible, 5G, Dockers",Permanent,"{CSCF,IMS,SIP,openstack,kubernetes,Ansible,5G,Dockers}",PC138515,CIMT7642,5.0,6.0,15-30 days,Active,JDI3218,20.0,Medium,Hybrid,experience ims network experience deploy system test good exposure im architecture node p cscf cscf cscf tas hss end end call flow include im registration work knowledge epc protocol volte csfb tas bgw mgw diameter epc lte mme saegw sgw pgw dns sgsn ggsn hss work knowledge mobile network g sip call processing sip supplementary service telecom protocol technology like sip sdp diameter tcp ip http mgcp etc im sip testing sip call flow im include cscf server component testing strong technical communication skill excellent conceptual knowledge experience knowledge openstack docker engine kubernete skill cscf call service call flow aaa one nd ims sip openstack kubernete ci cd ansible g docker,cscf ims sip openstack kubernete docker,experience ims network experience deploy system test good exposure im architecture node p cscf cscf cscf tas hss end end call flow include im registration work knowledge epc protocol volte csfb tas bgw mgw diameter epc lte mme saegw sgw pgw dns sgsn ggsn hss work knowledge mobile network g sip call processing sip supplementary service telecom protocol technology like sip sdp diameter tcp ip http mgcp etc im sip testing sip call flow im include cscf server component testing strong technical communication skill excellent conceptual knowledge experience knowledge openstack docker engine kubernete skill cscf call service call flow aaa one nd ims sip openstack kubernete ci cd ansible g docker cscf ims sip openstack kubernete docker
IT Business Development Executive,IT BDE (Sales),300000.0,800000.0,{Ahmedabad},"JD for BDE:  - Developing and executing sales plans to meet and exceed monthly and quarterly sales goals - Growing business through the development of new leads and new contacts - Identifying new revenue opportunities - Building business relationships with current and potential clients - Developing and executing sales and marketing strategies to grow business - Maintaining and updating sales, marketing and business development documentation - Strong communication and presentation skills - The ability to influence and negotiate with others - Commercial awareness - The ability to think creatively and strategically - Organizational skills - Self-motivation and the ability to be motivated by targets - Basic IT skills.  Qualification: - Minimum of a Bachelor’s Degree - Minimum of 1 years of experience in sales, business development or similar role - Experience with CRM software - Proficiency in MS Office - Experience in managing and growing sales teams - Excellent multitasking skills - Abil",Permanent,"{""IT Sales"",""Business Development"",""Lead generation"",marketing}",DB413862,CIMY4030,1.0,3.0,15-30 days,Active,JDIB2621,2.0,High,Hybrid,jd bde develop execute sale plan meet exceed monthly quarterly sale goal grow business development new lead new contact identify new revenue opportunity build business relationship current potential client develop execute sale marketing strategy grow business maintain update sale marketing business development documentation strong communication presentation skill ability influence negotiate other commercial awareness ability think creatively strategically organizational skill self motivation ability motivate target basic skill qualification minimum bachelor degree minimum year experience sale business development similar role experience crm software proficiency ms office experience manage grow sale team excellent multitaske skill abil,,jd bde develop execute sale plan meet exceed monthly quarterly sale goal grow business development new lead new contact identify new revenue opportunity build business relationship current potential client develop execute sale marketing strategy grow business maintain update sale marketing business development documentation strong communication presentation skill ability influence negotiate other commercial awareness ability think creatively strategically organizational skill self motivation ability motivate target basic skill qualification minimum bachelor degree minimum year experience sale business development similar role experience crm software proficiency ms office experience manage grow sale team excellent multitaske skill abil 
IT BDE,Business development,3.0,8.0,{Ahmedabad},"Job Description
Location- Ahemdabad (Hybrid mode- 2 days a week from office)
Prefer candidates from Ahemdabad location only.
Budget- Based on candidates current CTC and interview
Experience- 1-3 Years
Relevant experience- 1 year is needed
Skills needed- IT Sales, Communication skills, Business Development, CRM Software, Lead generation, MS Office, marketing.
Working days- 5 days working (General shift)
Notice period- Immediate- 30 days
Education Qualification- Graduate and above

JD for BDE:
- Developing and executing sales plans to meet and exceed monthly and quarterly sales goals
- Growing business through the development of new leads and new contacts
- Identifying new revenue opportunities
- Building business relationships with current and potential clients
- Developing and executing sales and marketing strategies to grow business 
- Maintaining and updating sales, marketing and business development documentation 
- Strong communication and presentation skills 
- The ability to influence and negotiate with others 
- Commercial awareness 
- The ability to think creatively and strategically 
- Organisational skills 
- Self-motivation and the ability to be motivated by targets 
- Basic IT skills. 

Qualification: 
- Minimum of a Bachelor’s Degree 
- Minimum of 1 years of experience in sales, business development or similar role 
- Experience with CRM software 
- Proficiency in MS Office 
- Experience in managing and growing sales teams 
- Excellent multitasking skills 
- Ability to prioritize tasks 
- Excellent verbal and written communication skills 
- Ability to present and explain ideas to a variety of audiences 
- Strong organizational and time management skills 
- Strong customer service skills 
- Ability to sell value and create credibility 
- Ability to maintain a high level of professionalism and confidentiality 
- Enthusiastic to build good relationships with people 
- Ability to work well in a team environment",Permanent,"{""IT Sales"",CRM}",sG585763,CIMY4030,1.0,3.0,15-30 days,Active,JDIB8034,-1.0,Medium,Hybrid,job description ahemdabad hybrid day week office prefer candidate ahemdabad location base candidate current ctc interview year relevant year need skill sale communication skill business development crm software lead generation ms office marketing work day work general shift notice day education graduate jd bde develop execute sale plan meet exceed monthly quarterly sale goal grow business development new lead new contact identify new revenue opportunity build business relationship current potential client develop execute sale marketing strategy grow business maintain update sale marketing business development documentation strong communication presentation skill ability influence negotiate other commercial awareness ability think creatively strategically organisational skill self motivation ability motivate target basic skill qualification minimum bachelor degree minimum year experience sale business development similar role experience crm software proficiency ms office experience manage grow sale team excellent multitaske skill ability prioritize task excellent verbal write communication skill ability present explain idea variety audience strong organizational time management skill strong customer service skill ability sell value create credibility ability maintain high level professionalism confidentiality enthusiastic build good relationship people ability work well team environment,,job description ahemdabad hybrid day week office prefer candidate ahemdabad location base candidate current ctc interview year relevant year need skill sale communication skill business development crm software lead generation ms office marketing work day work general shift notice day education graduate jd bde develop execute sale plan meet exceed monthly quarterly sale goal grow business development new lead new contact identify new revenue opportunity build business relationship current potential client develop execute sale marketing strategy grow business maintain update sale marketing business development documentation strong communication presentation skill ability influence negotiate other commercial awareness ability think creatively strategically organisational skill self motivation ability motivate target basic skill qualification minimum bachelor degree minimum year experience sale business development similar role experience crm software proficiency ms office experience manage grow sale team excellent multitaske skill ability prioritize task excellent verbal write communication skill ability present explain idea variety audience strong organizational time management skill strong customer service skill ability sell value create credibility ability maintain high level professionalism confidentiality enthusiastic build good relationship people ability work well team environment 
iOS Developer,iOS Developer,15.0,20.0,"{""Navi Mumbai""}",Proficiency with Apple’s iOS platform and application development •Designing and building mobile applications for Apple’s iOS platform. •Collaborating with the design team to define app features. •Ensuring quality and performance of the application to specifications. •Identifying potential problems and resolving application bottlenecks. •Fixing application bugs before the final release. •Publishing application on App Store. •Maintaining the code and atomization of the application. •Designing and implementing application updates.,Permanent,{iOS},PC138515,CINE2222,5.0,9.0,15-30 days,inActive,JDID3536,1.0,Medium,Work from Office,proficiency apple io platform application development build mobile application apple io platform design team define app feature quality performance application specification potential problem resolve application bottleneck application bug final release application app store code atomization application implement application update,io,proficiency apple io platform application development build mobile application apple io platform design team define app feature quality performance application specification potential problem resolve application bottleneck application bug final release application app store code atomization application implement application update io
IT Infrastructure,development,3.0,9.0,{Ahmedabad},"Excellent Troubleshooting, diagnosing and resolving hardware, software, and other network and system problems.
- Should have knowledge as well as hands on experience of changing given components such as Hard Disk, CD Drives, Memory, Power Supply Unit(SMPS), Networking Card, Video Graphics Card, Hard Disk Controller Card On PC System
- Troubleshooting of personal computers online support to WFH Employees to solve their computer related problems.
- Computer assembling and maintenance.
- Installing software and application to user standards.
- Knowledge of commonly-used concepts, practices and procedures in the repairing process.
- Ability to verify warranty status and create tickets with vendors
- Ability to troubleshoot queries of different OS like linux,windows and MAC
- Able to manage assets like LCD, Laptops, CPU, Mouse, Keyboard etc in our asset management tool
- Monitoring network performance to determine if adjustments need to be made.
- Profound Knowledge of Cisco/Sophos device networking experience including routers & switches
- Candidates are able to travel in the city when required with their personal vehicle. (Reimbursement will be provided)
- Should be able to create proper documentation.",Permanent,"{Network,Cisco,""IT Infrastructure""}",sG585763,CIMY4030,2.0,3.0,15-30 days,Active,JDII6892,1.0,Medium,Work from Office,excellent troubleshooting diagnose resolve hardware software network system problem knowledge well hand experience change give component hard disk cd drive memory power supply network card video graphic card hard disk controller card pc system troubleshooting personal computer online support wfh employee solve computer relate problem computer assembling maintenance instal software application user standard knowledge commonly use concept practice procedure repair process ability verify warranty status create ticket vendor ability troubleshoot query different os like linux windows mac able manage asset like lcd laptop cpu mouse keyboard etc asset management tool monitor network performance determine adjustment need make profound knowledge cisco sophos device networking experience include router switch candidate able travel city require personal vehicle reimbursement provide able create proper documentation,network infrastructure,excellent troubleshooting diagnose resolve hardware software network system problem knowledge well hand experience change give component hard disk cd drive memory power supply network card video graphic card hard disk controller card pc system troubleshooting personal computer online support wfh employee solve computer relate problem computer assembling maintenance instal software application user standard knowledge commonly use concept practice procedure repair process ability verify warranty status create ticket vendor ability troubleshoot query different os like linux windows mac able manage asset like lcd laptop cpu mouse keyboard etc asset management tool monitor network performance determine adjustment need make profound knowledge cisco sophos device networking experience include router switch candidate able travel city require personal vehicle reimbursement provide able create proper documentation network infrastructure
International Inside Sales Specialist,International Inside Sales Spe,600000.0,900000.0,{Hyderabad},"Job Description Profile: International Inside Sales Specialist Product: IT Saas  Requirement: Immediate Qualification: MBA/ Graduate Experience: 5+ years in selling enterprise IT solution Relevant Years of Experience: 5+ Years Salary Range: 6 to 9 LPA Notice Period: Immediate - 15 Days Location: Hyderabad, work from office Interview Process:  Virtual   Job Description The ideal candidate shall have experience in all stages of the sales cycle and should have handled International sales in APAC, GCC, EMEA or North American regions. They should be confident in building new client relationships and maintain existing ones. They should have evidence of strong skills and possess good presentation and negotiation skills.  Primary Skills:  International Inside sales experience To generate leads thru Cold Calling, Social Selling (LinkedIn), Secondary Research Proven inside sales experience, Lead Generation through cold calling (Major), Social Selling (Major) &amp; email marketing (Minor) in spac",Permanent,"{""Inside sales"",""Lead generation""}",DB413862,CIMY4030,5.0,7.0,0-15 days,Active,JDII8167,2.0,High,Work from Office,job description profile international inside sale specialist product saas requirement immediate qualification graduate experience year sell enterprise solution relevant year experience year salary range lpa notice period immediate day location hyderabad work office interview process virtual job description ideal candidate shall experience stage sale cycle handle international sale apac gcc emea north american region confident build new client relationship maintain exist one evidence strong skill possess good presentation negotiation skill primary skill international inside sale experience generate lead thru cold calling social selling linkedin secondary research prove inside sale experience lead generation cold calling major social selling major amp email marketing minor spac,inside generation,job description profile international inside sale specialist product saas requirement immediate qualification graduate experience year sell enterprise solution relevant year experience year salary range lpa notice period immediate day location hyderabad work office interview process virtual job description ideal candidate shall experience stage sale cycle handle international sale apac gcc emea north american region confident build new client relationship maintain exist one evidence strong skill possess good presentation negotiation skill primary skill international inside sale experience generate lead thru cold calling social selling linkedin secondary research prove inside sale experience lead generation cold calling major social selling major amp email marketing minor spac inside generation
