"jobTitle","position","minBudget","maxBudget","travelReq","location","description","attachment","orgId","jobType","skills","recruiter","client","minExp","maxExp","noticePeriod","status","jobId","createDate","vacancies","priority","priceType","workType","comment","subvendorId","Questionnaires","country","department","eligibility","responsibilities"
"Digital Marketing and content platform Developer","DigitalMarketingandContentPlatformDeveloper",8,20,False,"{ChennaiBangalorePuneMumbai}","3-5 years of hands-on development experience on Java, JavaScripts, basic SQL skills, HTML/CSS3
skills.
 Having prior experience to any content management platform will be preferred
 Experience on MVC framework will be an added advantage
 Good Communication skills,self-starter and proactive.","",1,"Permanent","{""Basic Sql skills"",Html,Css,java,Javascripts}","sarojini","CIHW9344","3","5","Immediate","Active","JDDM9456","2022-06-28 07:08:29.192973",1,"High","INR","Hybrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dot net Developer - Surat","development",19,20,False,"{Surat}","Having good experience in .Net #MVC, ASP .net and basic C#.
- ANGULAR JS, 
- OOPS Concept
- HTML and CSS
- SQL (Database) side basic knowledge.
- Knowledge in Push notification 
- Strong Database knowledge.
- Knowledge in Window services.","",1,"Permanent","{angular,.net}","sG585763","CIMY4030","5","15","15-30 days","Active","JDDN3252","2023-04-11 13:19:28.694095",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Dot Net Developer","Dot Net Developer",800000,1300000,True,"{Delhi}","Desired Candidate Profile: •	3-6 years of rapid web development experience using ASP.NETMVC framework 2.0 - 4.5 •	Advanced knowledge of Object-Oriented Design and Programming •	Development experience in HTML, XML, CSS •	Experience of developing Web Services (SOAP/ REST/ RESTFUL/ WCF/ WebAPI/ Microservices) •	Database experience with MSSQL/ MySQL/ others Good to have: •	Front-end development experience with any 1 JS framework (Angular JS/ React JS/ Vue JS) •	jQuery, bootstrap, C#, .NET core General expectations: •	Good understanding of web application development processes, from the layout/ user interface to relational database structure. •	Ability to understand Architecture and design applications accordingly •	Ability to understand and follow the software development processes •	Experience of managing a team of 2-3 developers •	Experience in handling clients","/jobs/Mind_I_1681205068.docx",1,"Permanent","{""ASP.NETMVC "",""Angular JS"","".NET core"",C#}","DB413862","CINE2222","3","6","0-15 days","Active","JDDN3773","2023-04-11 09:24:28.665207",2,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Dot Net Developer","Dot Net Developer",500000,1500000,False,"{""New Delhi""}","Job description

Have good working knowledge on .Net, Asp.net, C#, MVC, Angular JS, Web (ASP.NET, JQuery ,JavaScript), LINQ, HTML, CSS)
 Strong MS SQL and ability to write procedure and SQL functions and queries.
 Keen to learn new technologies like Artificial Intelligence, Machine Learning.
 Working exposure to Test, Link, JIRA, GIT, Jenkins, Visual Studio 2015 or later, OOPs concepts, Cloud concepts.
 Should have availability and flexibility to work collaboratively in a team.
 Strong Communication Skills
 Proven Track Record in being able to work independently as well as manage a 23 member team.",NULL,1,"Permanent","{""Dot Net"",""Asp Dot Net""}","PC138515","CIMY4030","3","10","15-30 days","active","JDDN5612","2023-09-04 11:25:44.548264",4,"High","INR","Work from Office",NULL,NULL,NULL,"IN",NULL,NULL,NULL
"Dot Net developer","DotnetDeveloper",15,17,True,"{Bangalore}","should be able to create code using one of the preferred languages. 
Shud be able to source project requirements, deciding on the most appropriate software solutions, and ensuring that developments are error-free. 
Utilizing Microsoft's .NET infrastructure to create software solutions that meet clients' requirements.
Collaborating with coworkers to facilitate the creation of large, complex developments, as required.
Reformulating existing code to ensure adherence to stipulated guidelines.
Checking your code to detect and remedy errors and omissions.
Testing your outputs to ensure that they are in excellent working order.
Ensuring that outputs are visually appealing, user-friendly, and engaging.
Deploying developments and monitoring uptake by the target audience.
Using clients' feedback to inform the creation of subsequent versions of each development.","https://storage.googleapis.com/hrm-musquare/jobs/NET_Ra1648449992",1,"Permanent","{""Web API"",linQ,.Net,SQL}","Venkata Sai Rohith","CIHW9344","5","10","0-15 days","Active","JDDN6453","2022-03-28 06:46:34.323729",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dot Net Developer","Development",400000,1600000,False,"{Hyderabad}","BS degree in Computer Science or related technical discipline is required
3+ years proven software engineering experience
Must have proven experience with object-oriented programming
Must have proven experience with .NET platform: C#, ASP.NET, MVC, Web API
Experience with MS SQL database design and development
Experience with REST, XML, JSON, and/or web service experience a plus
Experience with agile methodologies, lean, and CI
Team player who has strong technical, analytical, and problem solving skills 
AWS/Azure experience a plus
Be innovative and always want to learn more","",1,"Permanent","{""Asp .net"","" C#"","" web api""}","sarojini","CIGT5528","3","6","0-15 days","Active","JDDN7340","2022-08-29 11:20:09.330852",5,"Medium","INR","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dot Net Developer","DOTNetdeveloper",250000,300000,False,"{Hyderabad}","Bachelor’s degree or equivalent in Computer Science.• Proven experience as a .NET Developer or Application Developer• Familiarity with the ASP.NET framework, SQL Server, and design/architectural patterns (e.g., Model-View-Controller (MVC))• Knowledge of C #, Angular js and HTML5/CSS3• Familiarity with architecture styles/APIs (REST, RPC)• Understanding of Agile methodologies• Excellent troubleshooting and communication skills
Looking for a .Net developer to build software using languages and technologies of
the .NET framework.
• You will create and maintain applications from scratch, configure existing systems
and provide user support.
• Should be able to write functional code with a sharp eye for spotting defects.
• Good team player and an excellent communicator.
• Your goal will be to work with internal teams to design, develop and maintain software","",1,"Permanent","{Html,C#,Angularjs,CSS3,""APIs (REST"","" RPC)"",MVC,""Agile methodologies"",ASP.net,""Sql server"",""troubleshooting and communication skills."","".net developer""}","sarojini","CIHI7757","4","6","15-30 days","Active","JDDN7524","2022-09-02 08:51:40.073219",1,"High","INR","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Data Scientist","Data Scientist",2500000,3000000,False,"{Bangalore}","Classification: All - Finance / Accounts / Investment Banking

Skills Required: SQL, Python, Machine Learning, Natural Language Processing (NLP),NoSQL, PyTorch Software Library, Scikit-learn, TensorFlow Software Library
Job Description

Experience: 3-5 Years
Location: Bangalore
Notice Period: Immediate-30 days
Interview process: Round 1: Assignment and Round 2: Technical Interview

Responsibilities:

1.Design, Implement and Evaluate models and Design machine learning systems(NLP, text analytics, information retrieval, search, and recommendation systems, Knowledge graph, conversational system, Time-series based modelling, forecasting)
2.Design, development, evaluate and deploy innovative and highly scalable ML to improve the quality of products.
3.You should be passionate about working with data sets and be someone who loves to bring datasets together and use machine learning and analytical techniques to answer business questions and deliver actionable user-insights to build the best products and models.
4.Rapidly prototype integration of latest research in the field of ML/DL into the product.
Work closely with team of high performing data scientist and single ownership to identify opportunities, design, and assess improvements to ML Engine & Products

Role Skills:

3-5 years of hands-on experience in building machine learning systems for large datasets.
Ability to break down and frame business problems into data science solutions and hands-on capability to create MVP out of it and run a DS project end to end independently.
In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
Experience in NLP (Sequence segmentation, Labeling and parsing, Knowledge extraction, Question answering, Multi text learning, ontology, taxonomy building), Machine Learning.
Experience in Entity Extraction, Entity Linking, Clustering algorithms.
Proficient in Math & Deep Learning (VAE, RNN, LSTM, CNN, attention models, Transfomer etc.), machine learning(svm, random forest), Clustering, topic modeling(LDA, LSA) and graph models.
Experience in Python, Scikit-learn, Pytorch, Keras, Tensorflow
Experience of implementing Deep Learning models into production
Familiarity with distributed computing.
Experience with SQL and/or No-SQL modelling.
Excellent communication, analytical and problem-solving skills.
B.S./B.S.E./MS degree in Applied Math, Data Science, Computer Science, Physics, or Similar Technical Field
Preferred Qualifications:

Passion to dive deep to resolve problems at their root.
Experience in Data Governance, Data quality, Model Governance & MLops is a huge plus. Functional knowledge of platforms such as MLFLOW, Hopsworks/Sagemaker feature store/feast/Tecton, Seldon, DVC.
Experience on building fair & explainable ML based product.
Experience on federated learning, differential privacy, reinforcement learning.
Experience on A/B testing, federated learning, differential privacy.
Experience of git, flask, restful APIs.
Experience working in a fast-paced, high tech environment.",NULL,1,"Permanent","{SQL,Python,""Machine Learning"",""Natural Language Processing""}","DB413862","CIMY4030","3","5","15-30 days","active","JDDS6273","2023-08-07 11:29:48.632177",2,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ETL Developer","ETL Developer",6,12,False,"{Hyderabad}","Expertise with Oracle batches to Postgres/S3/Snowflake stream processing Good troubleshooting skills.   Soft skills for both UI/ Java/ETL Developer: Good communication skills Ability to adapt to and deliver in a fast-paced environment. Can work in a team, focuses on team success rather than individual.","",1,"Permanent","{""ETL developer""}","PC138515","CIMT7642","2","4","15-30 days","Active","JDED3820","2023-05-24 11:16:33.72105",4,"High","INR","Hybrid","",NULL,NULL,NULL,NULL,NULL,NULL
"Embedded Software Developer","Embedded",12,16,False,"{Hyderabad}"," Design, develop and maintain software for Eruvaka IoT products  Analyse and understand system req","/jobs/Embedd_1666075291.docx",1,"Permanent","{Embedded,C}","sG585763","CIET8976","5","9","15-30 days","Active","JDES9473","2022-10-18 06:41:32.018919",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Full Stack Developer","Full Stack Developer",1,15,False,"{Remote}","Job Description
JD: Full stack developer ( React & Node)

Experience:  2- 5 years Max

Notice period: Looking for Immediate to 15 days only

No. of Positions: 1

Job Description :

Experience in developing web applications using ReactJS or Angular 6+
Proficient understanding of web markup, including HTML5, CSS3
Knowledge of Node JS is an added advantage
Knowledge of RESTful APIs.
Note: Candidates are expected to work on Nodejs post they join.","",1,"Permanent","{React,Node,AWS}","sG585763","CIGT5528","3","5","15-30 days","Active","JDFD2233","2022-02-17 06:09:20.180967",3,"Medium","INR","Work from Home","null",NULL,NULL,NULL,NULL,NULL,NULL
"Peoplesoft Techno Functional Developer","Functional Developer",5,10,True,"{Bangalore}","Job Description
JD: Peoplesoft techno-Functional Developer:



• 3 to 4 years of techno-Functional experience with PeopleSoft financials.

• Should have good knowledge in FSCM module like AP, GL , AR and Project Costing

• PeopleTools software development experience using PeopleCode, Workflow, SQR, Application Engine, Data Mover, Integration Broker and Component Interface.

• Report Development (XML publisher, SQR, queries) experience.

• Interface Development experience.

• Testing experience during all system and end user testing, including issue analysis and resolution.

• Ability to document technical specifications.

• Strong analytical and design skills.

• Strong communication skills and ability to work closely with business and functional resources to develop sustainable business solutions Flexible to work in rotational shift.","",1,"Permanent","{""Communication skills"",""Functional Resources"",""Analytical and designing skills"",""Document Technical Specifiying""}","pravallika","CICS9111","2","5","15-30 days","Active","JDFD3420","2022-05-05 11:21:00.115521",10,"Medium","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Frontend Developer","Frontend Developer",800000,1200000,False,"{Hyderabad}","We are seeking a talented and experienced front-end developer to join our dynamic team. As a developer, you will be responsible for designing, developing, and maintaining web applications. You will work closely with our cross-functional team to deliver high-quality, scalable, and user-friendly web solutions connected to BWS blockchain.
Responsibilities:
Develop and maintain web applications from concept to deployment.
Collaborate with product managers, designers, and other developers to understand project requirements.
Participate in UI/UX design discussions and provide technical insights to create visually appealing and functional interfaces.
Write clean, efficient, and maintainable code.
Implement and maintain database systems, ensuring data security and integrity.
Perform unit testing and debugging to ensure the reliability of applications.
Optimize applications for maximum speed and scalability.
Stay updated with emerging technologies and best practices in web development.
Troubleshoot and resolve technical issues as they arise.
Participate in code reviews to maintain code quality standards.
Collaborate with the team to continuously improve development processes and workflows.
Qualifications:
Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience).
Proven experience as a front-end development in single page apps (React, Vue, Angular)
Proficiency in front-end technologies such as HTML, CSS, JavaScript, and modern JavaScript frameworks (e.g., React, Angular, or Vue.js).
Strong backend development skills with proficiency in server-side languages (e.g., Node.js, Python, Ruby, etc.).
Experience with database systems (SQL and NoSQL).
Familiarity with web servers and deployment processes.
Knowledge of version control systems (e.g., Git).
Excellent problem-solving skills and attention to detail.
Ability to work in an agile development environment.
Desired Skills:
Experience with mobile app development (iOS/Android).
Knowledge of cloud platforms (e.g., AWS, Azure, Google Cloud).
Understanding of DevOps practices.
Security best practices in web development.
Familiarity with containerization and orchestration technologies (e.g., Docker, Kubernetes).",NULL,1,"Permanent","{ReactJS,AngularJS,VueJS,NodeJS}","PC138515","CIMY4030","3","5","15-30 days","active","JDFD4281","2023-09-29 11:34:06.098541",1,"Low","INR","Work from Office",NULL,NULL,NULL,"IN",NULL,NULL,NULL
"Flutter developer","Flutter developer",6,8,True,"{ChennaiMumbaiPune}"," candidate should have experience building native applications, JavaScript knowledge, and a portfolio of applications already published either in the app store or self-hosted.
Candidate shud engineer applications that will run across Android, iOS, and the web.","",1,"Permanent","{Agile,Flutter,Github}","Achyuth","CIHW9344","3","6","15-30 days","Active","JDFD6550","2022-03-21 07:04:01.38396",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"FPnA Lead (Non CA)","FPnA Lead (Non CA)",1900000,2500000,True,"{Bangalore}","Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

 

Title: Lead –FPnA (Non CA)

Experience: 6 to 7 Yrs

Mandatory Skills:

•              Non-CA (M.Com,MBA-Finance,CA Inter) with post qualification experience of 6 to 7 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•              Excellent stakeholder management skills and interpersonal skills.

•              Demonstrates the ability to manage multiple clients and diverse team

Job Description:

•              Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•              Work with Business Unit heads to build their annual budgets and forecasts.

•              Producing models to project long-term growth and determine the impacting business factors.

•              Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•              Analyzing financial and operational results to better understand company performance.

•              Support month end close task, Journals, allocations, reporting and consolidation",NULL,1,"Permanent","{""stakeholder management skills"",""Financial Planning and Analysis""}","DB413862","CICS9111","6","7","15-30 days","inActive","JDFL5348","2023-08-23 05:38:11.358393",1,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Full Stack Developer","Full Stack Developer",16,18,False,"{Hyderabad}","Minimum 3-5 years experience in full stack development Hands on experience with HTML,CSS, JavaScript, React.JS, Redux, Node.JS, MongoDB","",1,"Contract","{ReactJS,NodeJS,"" MongoDB""}","PC138515","CIMT7642","3","5","15-30 days","Active","JDFS1103","2023-06-29 07:30:29.83923",4,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"FP&A Sr AM (CA)","FP&A Sr AM (CA)",1900000,2100000,True,"{Bangalore}","Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 MIdnight

WORK FROM OFFICE

Notice: Max 30 days joiners plz
 

Title: Sr AM – FPnA (CA)

Shift Timing: 3 PM to 12 Midnight

Mandatory Skills:

•             CA with post qualification experience of 7 to 8 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•             Experience in top CA firms or in multinational organization is preferred.

•             Excellent stakeholder management skills and interpersonal skills.

•             Demonstrates the ability to manage multiple clients and diverse team.



Job Description:

•             Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•             Work with Business Unit heads to build their annual budgets and forecasts.

•             Producing models to project long-term growth and determine the impacting business factors.

•             Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•             Analyzing financial and operational results to better understand company performance.

•             Support month end close task, Journals, allocations, reporting and consolidation",NULL,1,"Permanent","{""Financial Planning and Analysis"",""General Accounting""}","DB413862","CICS9111","6","8","15-30 days","active","JDFS4653","2023-08-22 10:52:21.633779",1,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Full Stack Trainer","Developemnt",15,20,True,"{Hyderabad}","Responsibilities:  Handling doubt session or query session of the students related to Full Stack web application development at the time of training Work with development teams and product managers to ideate software solutions Design client-side and server-side architecture, build the front-end of applications through appealing visual design Develop and manage well-functioning databases and applications Write effective APIs, test software to ensure responsiveness and efficiency Troubleshoot, debug and upgrade software Create security and data protection settings Build features and applications with a mobile responsive design Work with data scientists and analysts to improve software Well versed with the latest tool and industry updates related to each and every aspect of the full stack web application development or as per your expertise area; To Update and ensure all latest trends and best practices are covered in Qualifications and Skills Web","",1,"Permanent","{React.js,Angular,Nodejs,trainer}","sG585763","CIMT7642","7","10","15-30 days","Active","JDFS7433","2023-04-28 11:05:41.230345",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Full Stack Developer - Excellerate","Full Stack Developer- Excellerate",4,10,False,"{Hyderabad}","Minimum 2-5 years experience within full stack development Hands on experience with HTML,CSS, JavaScript, React.JS, Redux, Node.JS, MongoDB
Experience with Azure and AWS is an added advantage","",1,"Permanent","{ReactJS,"" NodeJS"","" MongoDB""}","PC138515","CIGT5528","2","5","15-30 days","Active","JDFS9872","2023-01-17 11:23:41.997032",1,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
" GL Process Associate "," GL Process Associate ",4,6,False,"{Bangalore}","QUALIFICATIONS: BCom/MCom/ MBA finanace + CA inter or CMA certified preferred.  
JOB DETAILS:

• General Ledger accounting with substantial focus on Month end close activity.

• Checking the Balance sheet and Profit/ Loss for the accuracy (preparing the Balance Sheet account reconciliations)

• Working on the daily and weekly activity reports like bank reconciliation, payroll and others

. Should be flexible to work till 3 AM during month end.
","",1,"Permanent","{""General Ledger""}","DB413862","CICS9111","2","4","15-30 days","Active","JDG3832","2022-12-22 04:27:59.771995",2,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"SR GL Process Associate","SR GL Process Associate",1,600000,False,"{Bangalore}","Accountabilities :
•         Prepares income and balance sheet statements, and various other accounting statements and financial reports

•         Analyzes complex financial reports and records, making recommendations relative to reserves, assets and expenditures

•         Reviews and verifies the accuracy of journal entries and accounting records

•         Reviews balance sheet reconciliations and proposes adjusting entries as necessary

Responsibilities :

•         Completes month-end close activities, including but not limited to journal entries, accruals, and accounting for payroll

•         Reconciles complex bank statements and records related entries

•         Prepares and maintains balance sheet reconciliations and supporting schedules

•         Assists in preparation of periodic, quarterly and annual financial statements 

•         Researches and respond to questions from Operations Managers

•         Participates in external audit as necessary by preparing required schedules and supplemental information, and responding to inquiries of external auditors

•         Assists in various special projects as needed

•         Other duties as assigned","",1,"Permanent","{GL,""General Ledger""}","Achyuth","CICS9111","4","6","0-15 days","Active","JDGA2237","2022-02-17 06:09:20.180967",3,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Guidewire Developers","Developer",9,12,False,"{Hyderabad}","Prior Guidewire PC Integration experience (Edge API)

Guidewire Insurance Suite JavaPortal Front End Javascript/Typescript (ECMAScript6 or ES6)
ReactJS, NodeJS, Javascript/Typescript (ECMAScript6 or ES6),HTML, CSS, UI Framework (Bootstrap/Material UI), P&C Domain knowledge Certification in Digital
Policy Center Administration/Knowledge of various job processes","",1,"Permanent","{guidewire,""Guidewire Insurance Suite"",HTML,CSS,Bootstrap}","Achyuth","CIAS8119","3","4","0-15 days","Active","JDGD2195","2022-06-08 05:13:36.134469",2,"High","","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Global Payroll Manager","Global Payroll Manager",1800000,2000000,True,"{Bangalore}","JD for Global Payroll Manager –

A Global Payroll Manager is responsible for overseeing the payroll process for clients operating across multiple countries. This role is to ensure that all employees are paid accurately and on time, while complying with relevant laws and regulations in each country.


Key responsibilities of a Global Payroll Manager include –

1.    Ensure payroll compliance: He/she is responsible for ensuring payroll compliance with all applicable tax, social security, and labor laws in each country. He/she needs to be familiar with tax treaties and agreements between countries that could impact payroll

2.    Manage payroll team: The Global Payroll Manager must manage and lead a team of 12-14 (and growing) payroll professionals to ensure that all payroll activities are completed accurately and on time.

3.    Core technical: He/she must be hands on and very much familiar with payroll process (US, Canada, EMEA, APAC primarily), onboarding, offboarding, PTO, garnishments, various reports, employee query handling, year-end employee reports (W2 and others) and other payroll reports, helping and reviewing SOPs.

4.    Manage and supervise a team of payroll specialists to ensure that payroll processes are executed in a timely and accurate manner.

5.    Ensure compliance with all applicable payroll regulations and tax laws for both US and EMEA regions.

6.    Ensure timely filing of all payroll-related tax returns and payments.

7.    Work closely with other departments such as HR, Finance, and Legal to ensure seamless coordination of payroll-related activities.

8.    Transition experience: Has hands on experience in transitioning work to India, gets hands dirty at the initial phase, team the juniors on the activities to be performed, building initial impression with the client, ensuring error free, on time transition.

9.    Manage relationships with the client: He/she must build and maintain relationships with the clients, understand the requirements and implement the same. Also, suggest best practices.

10.    Collaborate with internal stakeholders: He/she must work closely with internal stakeholders, managers to build an efficient team, staffing needs, optimize existing resource.

11.    Continuously improve payroll process: He/she must identify areas for improvement and implement changes to streamline the payroll process, reduce errors, and increase efficiency.

12.    Building a strong sustainable culture: Build a strong team of culture with collaboration, team building, professionalism.



Qualification and experience required –

•    Bachelor's degree in Business Administration, Accounting, or related field
•    14+ years of experience in payroll management, preferably in a shared services environment
•    Thorough knowledge of US and EMEA payroll regulations and tax laws
•    Experience working with leading payroll applications such as ADP, Workday, UKG
•    Strong leadership and supervisory skills, with the ability to motivate and manage a team.
•    Excellent analytical and problem-solving skills
•    Strong communication and interpersonal skills, with the ability to work effectively with all levels of the organization.
•    Detail-oriented with the ability to manage multiple priorities in a fast-paced environment.
•    Knowledge of HRIS systems and reporting tools is a plus.

Work timing -
Work from office with hybrid model, preferred US hours, however flexible working from 3pm to 12am IST with flexibility during pay days or critical transition days.",NULL,1,"Permanent","{""USA Canada and APAC payroll"",""Ensure payroll compliance"",""Strong leadership and supervisory skills"",""problem solving skills""}","DB413862","CICS9111","13","16","15-30 days","active","JDGP3661","2023-08-23 07:02:15.880199",1,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"GM Sales","Business development",22,23,False,"{Mumbai}","

Responsible for P&L of Transport and Logistics vertical , also responsible for both value and volume of business. Should possess or imbibe in depth knowledge of the functioning of this vertical and the challenges faced by the segment.
Should be suave to gather inputs to strategically build solutions for this segment filter high potential deals by analyzing business strategies, opportunity requirements / pre-requisites / financials, and internal priorities
Should have a team to manage a team of professionals responsible for generating revenue ,new customer acquisitions and overall target & will be accountable for managing, and building the sales performance, and overall team efficiency
The Vertical Head will design strategies by considering the risks and rewards, keeping in mind the counter-parties- preferences & goals.
He /She will lead and close large deals, understand the customer’s requirements thoroughly, and tailor pitch the deal/products accordingly.
Managing customer relationships at all levels will be an important function and he / she will be responsible for gathering and acting upon Market Intelligence, consumer choices and consumer behavior.","",1,"Permanent","{Sales,T&L}","sG585763","CIMY4030","15","16","15-30 days","Active","JDGS6287","2023-04-11 14:32:57.719173",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"HR Associate","HR Associate",1,5,False,"{Bangalore}","Job Description:
We are looking for a dynamic teammate that will play a key role in leading the recruitment initiative in
our company. The ideal candidate would be primarily working on recruitment, along with employee
relations, L&amp;D, Employee Issue Management and Vendor management. The role would also extend to
manage some of the operations related roles. A positive person with a self-starter attitude and
excellent communication skills that can build relationships would just nail it.
If you&#39;re someone who is result oriented, upbeat and enjoys working with great people, then you will
love the vibe and the broad range of responsibilities that can uplift your career.
Roles and Responsibilities
 You will actively handle different recruitment initiatives across all touch points, sourcing great
talent through innovative sources, job-portals and coordinate with the stake holders.
 You will devise and implement strategies around corporate branding, scouting for potential hires,
coordinate outreach programs with respect to recruitment.
 Build a strong network in the Human resource community to develop a continuous source for
potential candidates
 Actively work and engage with the team and exhibit a proactive participation in building and
maintaining a positive work environment
 Constant management of all HR Tools and maintain related data.
 Handling end-to-end employee onboarding, off-boarding and mobility.
 Handle a range of back-end operations including Employee on-boarding, maintaining
documentation and data, vendor management, benefits, training and development, HRM tool,
employee engagement.
 Self-starter who can operate effectively in a fast-paced environment and navigate ambiguity,
independently.
 Strong attention to detail, successful project management abilities, ability to multitask and deliver
on multiple streams of work in parallel.
Job Specifications:
 Confident and energetic, with strong verbal and written communication skills.
 MBA in HR with 1 to 3 years of experience (technical background like Btech / BE +MBA is a plus)
 Strong morals and ethics, along with a commitment to maintaining staff privacy and confidentiality.
Shift Timings: General shift
Location: Electronic City Phase 1, Bangalore
Key Notes:
1. Role: Hr Associate / Jr. HR associate
2. Job code in subject line: HR02
3. Type: Contract role of 6 months extendable to 9 months if required.
(Can be absorbed after the contract based on performance and requirement)
4. Shift: General shift
5. Cab facility: No
Notice Period: 30 days Max","https://storage.googleapis.com/hrm-musquare/jobs/HR_JD.1640582717",1,"Contract","{HR}","Achyuth","CICS9111","1","3","15-30 days","Active","JDHA2244","2022-02-17 06:09:20.180967",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"helpdesk","helpdesk",300000,600000,True,"{""Bengaluru ""}","  Serve as the first contact with customers who need technical assistance via the phone or email.
","https://storage.googleapis.com/hrm-musquare/jobs/JD_Con1644818243",1,"Permanent","{""IT support"",""application support""}","Venkata Sai Rohith","CICS9111","1","4","15-30 days","Active","JDHD2293","2022-02-17 06:09:20.180967",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"HR Executive","HR Executive",2,5,False,"{Hyderabad}","Should have experience in Payroll, Recruitment, Operations and Administration, Policies and Documentation, Compensation and Employee Benefits, Statutory compliances. Must have solid organizational skills and be familiar with HR functions. Maintaining physical and digital personnel records like employment contracts. Candidate will act as the first point of contact for HR-related queries from employees and external partners. Administrative duties include maintaining personnel records, managing HR documents (e.g., employment records and onboarding guides) and updating internal databases. Liaise with external partners, like insurance vendors, and ensure legal compliance. Thorough knowledge of labor laws.","",1,"Permanent","{Recruitment,Payroll,""Operations and Administration""}","PC138515","CIMT7642","2","5","15-30 days","Active","JDHE2858","2023-06-27 05:00:33.491605",1,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Helpdesk Specialist","Helpdesk Specialist",6,8,False,"{Bangalore}","Job Description
JD: Helpdesk Specialist 

Experience : 2- 4  yrs 

Shifts: Rotational Shifts 

•    Serve as the first contact with customers who need technical assistance via the phone or email.

•    Provide support for incoming queries and issues related to computer systems, O365, Active directory, software and hardware (Printer/ Scanner).

•    Actively monitoring the Applications and Mailboxes for our clients.

•    Supervise all alerts related to application and system procedures and provide services proactively.

•    Install, modify, and repair computer hardware and software.

•    Resolve technical problems with Local Area Networks (LAN), Wide Area Networks (WAN), and other systems.

•    Ensure that client systems are fully operational.

•    Flexibility - Willing to work in shifts 24/7.

•    Log all support based interactions timely and escalate to support engineer. 

•    Add on experience on Phone based Application Support.

•    Timely respond to email messages for customers seeking help.

•    Excellent problem-solving and communication skills. 

•    Follow up with customers to ensure issue has been resolved.

        

      Qualification : BSC / MSC / B-Tech / BE in Information Technology, Computer Science 

","",1,"Permanent","{Helpdesk}","PC138515","CICS9111","3","4","15-30 days","Active","JDHS2266","2022-02-17 06:09:20.180967",1,"Medium","INR","Work from Office","null",NULL,NULL,NULL,NULL,NULL,NULL
